,partei,phase,zh-japroz,be-japroz,lu-japroz,ur-japroz,sz-japroz,ow-japroz,nw-japroz,gl-japroz,zg-japroz,fr-japroz,so-japroz,bs-japroz,bl-japroz,sh-japroz,ar-japroz,ai-japroz,sg-japroz,gr-japroz,ag-japroz,tg-japroz,ti-japroz,vd-japroz,vs-japroz,ne-japroz,ge-japroz,ju-japroz
20,p-mitte_label,phase1_fruehphase,-35.94,-30.129999999999995,-7.789999999999999,21.27,-7.229999999999997,17.58,-7.310000000000002,-7.270000000000003,-14.939999999999998,25.97,-29.0,-26.689999999999998,-26.379999999999995,-34.290000000000006,11.280000000000001,2.6599999999999966,9.740000000000002,25.53,-40.08,-27.439999999999998,37.42,32.97,46.84,4.25,37.19,
21,p-mitte_label,phase2_volatile,11.863387096774193,11.20032258064516,15.996935483870967,12.978064516129033,10.127096774193548,14.455,14.390161290322581,12.478548387096774,11.904677419354837,17.25,12.28209677419355,11.886935483870968,8.063387096774195,13.071612903225805,8.718870967741937,12.279516129032258,11.866774193548387,16.126129032258067,9.490161290322582,13.692903225806452,18.03032258064516,13.586451612903225,16.76483870967742,12.831935483870968,17.24822580645161,
22,p-mitte_label,phase3_konsens,11.163499999999999,13.4494,13.2142,13.7848,8.3062,13.5338,12.7497,13.7471,12.914299999999999,17.4006,12.6356,11.9177,11.1527,10.644300000000001,8.0165,16.2968,11.9405,16.5726,9.1727,12.5829,17.1846,14.5152,13.2318,11.8293,14.4607,
23,p-mitte_label,phase4_aufspaltung,12.66584229390681,11.759390681003584,12.410358422939067,9.836451612903225,8.833548387096775,11.699068100358422,12.865985663082437,10.764014336917562,13.630465949820788,11.7468458781362,10.331218637992832,11.603189964157705,12.204265232974912,9.784157706093191,11.22921146953405,12.432831541218636,12.226881720430109,12.443046594982079,11.239713261648745,11.776559139784945,9.136164874551971,11.82853046594982,9.866057347670251,10.381612903225806,10.97336917562724,8.051991701244813
24,p-mitte_label,phase5_2010_heute,9.354774774774775,8.396486486486486,11.275135135135136,9.02036036036036,9.124234234234233,10.873693693693694,12.00018018018018,7.748738738738739,12.614774774774775,9.73954954954955,8.35918918918919,7.457837837837839,8.54072072072072,6.058738738738739,7.9472072072072075,10.182612612612612,8.747837837837837,10.801891891891891,9.276036036036038,8.533603603603604,6.596306306306306,11.13081081081081,10.69045045045045,8.88117117117117,7.3583783783783785,6.892792792792792
25,p-sps_label,phase1_fruehphase,17.45307692307692,9.295384615384616,2.5784615384615366,-10.139999999999999,-3.9792307692307696,-10.09153846153846,-7.472307692307691,19.06923076923077,11.473076923076926,-15.043076923076923,14.466153846153846,20.509999999999998,6.909230769230769,18.13153846153846,6.337692307692308,-17.414615384615384,4.932307692307693,-5.1838461538461535,4.461538461538461,10.252307692307692,3.2161538461538464,-4.131538461538462,-16.13230769230769,2.8830769230769233,3.630769230769232,
26,p-sps_label,phase2_volatile,9.993333333333332,7.511481481481481,2.5875308641975305,6.18641975308642,1.4311111111111112,-3.2427160493827163,-1.0041975308641977,9.489876543209876,3.818518518518519,-1.5341975308641973,10.324444444444444,15.084197530864197,8.897777777777778,9.623333333333333,1.4109876543209878,-2.8407407407407406,5.349012345679013,4.439876543209876,5.304444444444445,3.5306172839506176,11.834074074074074,-0.7929629629629632,1.6797530864197534,9.552345679012346,12.567530864197531,
27,p-sps_label,phase3_konsens,12.379444444444445,13.111555555555555,8.719111111111111,9.072666666666667,2.5596666666666663,4.595777777777778,7.061444444444444,9.990888888888888,9.320555555555554,10.533888888888889,11.842333333333332,15.582666666666666,12.879333333333335,11.520222222222221,4.455,6.343111111111111,7.531666666666667,10.391,8.430666666666667,8.732888888888889,17.490111111111112,12.798555555555554,8.148333333333333,13.669222222222222,16.143555555555558,
28,p-sps_label,phase4_aufspaltung,2.844671814671815,1.649420849420849,-1.8690347490347492,-2.3652895752895753,-6.51938223938224,-5.382895752895753,-4.462548262548262,-2.5754440154440155,-1.1364478764478765,-0.09436293436293455,-0.36196911196911213,7.962818532818533,3.5787644787644792,-0.04598455598455601,-2.8006563706563705,-7.754362934362934,-1.9948262548262548,-0.035868725868725825,-2.741853281853282,-3.871698841698842,2.49996138996139,2.9344015444015445,-4.1262934362934365,4.456447876447877,7.587181467181467,3.82
29,p-sps_label,phase5_2010_heute,4.59990909090909,4.210454545454546,0.6499090909090907,-2.138818181818182,-5.463454545454546,-4.335181818181818,-4.016545454545454,-0.26136363636363613,-1.3352727272727274,5.554454545454545,1.619181818181818,10.518363636363636,3.4688181818181816,1.4833636363636362,-0.23800000000000038,-5.257636363636364,-0.5265454545454544,0.9326363636363637,0.0959090909090905,-1.1897272727272727,2.1929999999999996,9.672272727272727,1.1599090909090912,9.746818181818181,10.679272727272728,9.266272727272726
30,p-svp_label,phase1_fruehphase,,,,,,,,,,,,,,,,,,,,,,,,,,
31,p-svp_label,phase2_volatile,8.016349206349206,9.384126984126985,10.733174603174604,8.525396825396825,5.962539682539683,9.156031746031747,9.804126984126984,7.9655555555555555,6.993809523809524,13.43873015873016,7.061587301587301,5.9819047619047625,4.802698412698413,9.43222222222222,6.2063492063492065,8.756190476190476,7.2555555555555555,12.205555555555556,7.334444444444444,11.825714285714286,13.159206349206348,11.23047619047619,13.012539682539682,9.775555555555556,12.453174603174602,
32,p-svp_label,phase3_konsens,11.9232,14.154300000000001,14.218399999999999,14.890899999999998,9.1702,14.595799999999999,13.4465,14.2762,13.940199999999999,17.0544,13.708499999999999,12.030899999999999,11.862400000000001,11.607899999999999,9.1923,17.4809,12.765999999999998,17.1339,9.8774,13.5429,17.2277,14.203199999999999,13.6943,11.8896,14.2883,
33,p-svp_label,phase4_aufspaltung,11.348303249097473,10.504115523465703,12.48740072202166,10.86927797833935,12.085234657039711,13.310685920577617,14.170397111913356,13.11783393501805,12.983682310469314,9.790902527075811,10.29927797833935,7.78274368231047,10.353357400722022,10.987725631768953,12.602418772563176,15.83480144404332,13.13696750902527,11.896028880866425,12.457184115523464,13.750974729241877,8.40563176895307,8.654476534296029,9.700758122743682,6.666678700361011,6.4074368231046925,3.46207468879668
34,p-svp_label,phase5_2010_heute,0.511636363636364,1.0226363636363636,4.694272727272727,7.804545454545455,10.667454545454547,10.058636363636364,9.769181818181817,5.346363636363636,6.916181818181818,-0.2934545454545456,3.3859090909090908,-5.635909090909092,1.8413636363636363,3.3229090909090906,5.085727272727273,10.928181818181818,5.4475454545454545,4.638090909090909,5.018363636363636,6.03009090909091,2.8022727272727272,-3.5123636363636366,4.605818181818181,-4.696,-5.720999999999999,-4.375363636363636
