partei,zh-japroz,be-japroz,lu-japroz,ur-japroz,sz-japroz,ow-japroz,nw-japroz,gl-japroz,zg-japroz,fr-japroz,so-japroz,bs-japroz,bl-japroz,sh-japroz,ar-japroz,ai-japroz,sg-japroz,gr-japroz,ag-japroz,tg-japroz,ti-japroz,vd-japroz,vs-japroz,ne-japroz,ge-japroz,ju-japroz
p-rep,7.517478991596639,7.956134453781512,8.347142857142858,7.202016806722689,9.270840336134453,10.198403361344537,9.811428571428571,10.522605042016806,8.586386554621848,5.8251260504201685,6.826554621848739,3.766218487394958,4.99983193277311,8.354873949579831,11.20218487394958,12.94655462184874,9.701932773109244,6.4037815126050415,8.781008403361344,10.41,3.2710924369747905,5.129747899159664,7.300168067226891,3.420588235294118,4.781428571428571,-1.4182456140350879
p-sav,11.12445652173913,10.091521739130435,11.572608695652173,9.334021739130435,9.768840579710144,12.185434782608695,12.975579710144928,10.872101449275362,13.084746376811594,10.518297101449276,9.47014492753623,8.477463768115943,10.423876811594203,9.237065217391304,11.39391304347826,13.836884057971014,11.420579710144928,11.328514492753623,10.664855072463768,11.833152173913042,6.748840579710145,10.691485507246377,10.35981884057971,8.596992753623189,7.992717391304347,4.0310747663551405
p-sbk,2.7959090909090905,1.7777272727272722,-0.6740909090909102,-1.0154545454545458,-4.635,-1.9063636363636356,-2.9627272727272724,-1.5818181818181813,-1.6840909090909093,1.9118181818181819,-1.6813636363636364,6.458181818181819,0.4645454545454545,0.9777272727272723,0.750454545454545,-1.4509090909090914,-0.6872727272727265,2.227272727272727,-1.7190909090909088,-0.5100000000000002,1.2949999999999995,2.642272727272729,1.5740909090909094,5.024545454545454,2.883181818181818,5.427619047619048
p-sbv,10.738235294117645,10.81700767263427,11.155498721227621,10.04923273657289,8.341432225063938,11.079386189258312,11.762941176470589,10.90772378516624,11.821764705882352,10.88693094629156,9.471764705882354,9.408312020460357,10.134961636828644,9.202531969309463,9.64777493606138,12.891176470588235,10.861611253196932,12.751202046035806,9.830869565217391,11.29841432225064,9.850537084398978,10.372762148337596,9.702020460358055,8.436572890025575,9.043222506393862,3.9653731343283583
p-sd,3.6667991169977925,4.276710816777042,3.288962472406181,4.46832229580574,3.735651214128035,3.3297792494481238,3.5023178807947017,5.4871523178807955,2.7680353200883006,1.740971302428256,4.019381898454746,3.89766004415011,3.6107726269315674,4.336445916114791,4.731655629139073,4.832958057395143,4.573200883002207,3.1252317880794704,3.7649227373068435,4.648167770419426,3.829646799116998,0.7376379690949227,0.7088520971302429,0.9513686534216336,1.7211258278145694,-0.19329081632653042
p-sgb,5.744154175588865,5.5226766595289085,2.1307708779443253,1.6575374732334043,-2.670085653104925,-1.504154175588865,-0.25068522483940037,1.892612419700214,2.2429764453961454,4.899100642398287,3.5773019271948607,9.901927194860813,6.1770235546038545,3.4033832976445395,0.3111991434689506,-2.3741970021413277,1.6452462526766598,4.022012847965739,1.5232334047109208,0.7398501070663811,6.946509635974304,7.365567451820128,1.4768308351177732,8.638758029978588,9.865674518201283,7.524517045454545
p-sgv,7.260513392857143,7.738504464285714,9.88888392857143,8.431138392857143,10.165066964285714,12.206941964285715,11.832745535714285,9.417053571428571,10.826116071428572,9.350959821428571,7.655223214285714,3.9598214285714284,7.077366071428571,7.3758035714285715,9.15875,12.8125,9.397589285714286,10.109776785714287,9.06765625,10.010691964285714,5.6645312500000005,8.335714285714285,11.005982142857144,5.973258928571428,5.424397321428572,2.7674242424242426
p-sodk,2.6400000000000006,1.4800000000000004,-0.8000000000000007,-4.309999999999999,-13.240000000000002,-7.84,-10.370000000000001,-12.165,-6.350000000000001,5.105,-6.5,5.810000000000002,-2.8299999999999983,-4.685000000000002,-9.149999999999999,-12.98,-7.84,-3.474999999999998,-5.604999999999997,-8.57,4.529999999999998,0.5850000000000009,1.1900000000000013,3.7799999999999976,-8.855,7.324999999999999
p-sps,6.324420062695925,5.361598746081504,1.8131347962382445,1.3091065830721003,-2.748213166144201,-2.281191222570533,-1.1006269592476488,2.618683385579937,2.222413793103448,2.956316614420063,4.300626959247649,10.832100313479623,6.143996865203762,4.299451410658308,0.38722570532915346,-3.412413793103448,1.7217711598746082,3.0843887147335427,1.5809874608150472,0.7595454545454545,6.597351097178683,5.589122257053292,0.4466300940438873,7.967210031347962,10.342351097178684,5.918617283950617
p-ssv,12.65081081081081,11.303513513513513,11.225405405405406,6.818648648648648,3.832702702702703,6.274864864864864,7.49,5.98027027027027,11.026216216216216,12.828648648648649,9.302972972972974,15.495945945945946,10.815945945945947,7.423783783783784,7.363243243243243,4.91945945945946,7.720540540540541,11.052432432432434,8.921351351351353,7.0805405405405395,8.213783783783782,16.742702702702704,10.56810810810811,15.471621621621622,14.323783783783785,13.215675675675675
